Juegos{game='Hakuoki: Memories of the Shinsengumi', platform='3DS', developer='Idea Factory', genre='General', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 19, 2013', positiveCritics=6, neutralCritics=6, negativeCritics=0, positiveUsers=2, neutralUsers=0, negativeUsers=0, metascore=75.0, userScore=76.0}
Juegos{game='Beatbuddy: Tale of the Guardians', platform='PC', developer='Threaks', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Aug  6, 2013', positiveCritics=13, neutralCritics=6, negativeCritics=1, positiveUsers=3, neutralUsers=6, negativeUsers=0, metascore=75.0, userScore=74.0}
Juegos{game='Paper Sorcerer', platform='PC', developer='Ultra Runaway Games', genre='General', numberPlayers='', rating='', releaseDate='Nov  2, 2013', positiveCritics=1, neutralCritics=6, negativeCritics=0, positiveUsers=5, neutralUsers=0, negativeUsers=1, metascore=73.0, userScore=67.0}
Juegos{game='Doki-Doki Universe', platform='PS4', developer='SCEA, Humanature Studios', genre='General', numberPlayers='', rating='E10+', releaseDate='Dec 10, 2013', positiveCritics=8, neutralCritics=20, negativeCritics=0, positiveUsers=2, neutralUsers=5, negativeUsers=3, metascore=71.0, userScore=63.0}
Juegos{game='Richard & Alice', platform='PC', developer='Denby / Raze', genre='General', numberPlayers='', rating='', releaseDate='Feb 21, 2013', positiveCritics=7, neutralCritics=7, negativeCritics=0, positiveUsers=2, neutralUsers=0, negativeUsers=0, metascore=70.0, userScore=68.0}
Juegos{game=''Broken Sword 5: The Serpents'' Curse - Part I'', platform='PC', developer='Revolution Software', genre='General', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Dec  4, 2013', positiveCritics=16, neutralCritics=23, negativeCritics=0, positiveUsers=29, neutralUsers=15, negativeUsers=3, metascore=69.0, userScore=80.0}
Juegos{game='Blackguards', platform='PC', developer='Daedalic Entertainment', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Nov  6, 2013', positiveCritics=17, neutralCritics=29, negativeCritics=2, positiveUsers=35, neutralUsers=23, negativeUsers=20, metascore=68.0, userScore=71.0}
Juegos{game='Doki-Doki Universe', platform='VITA', developer='SCEA', genre='General', numberPlayers='', rating='E10+', releaseDate='Dec 10, 2013', positiveCritics=1, neutralCritics=6, negativeCritics=0, positiveUsers=0, neutralUsers=1, negativeUsers=2, metascore=66.0, userScore=55.0}
Juegos{game='Super Motherload', platform='PS4', developer='XGenStudios', genre='General', numberPlayers='', rating='E10+', releaseDate='Nov 15, 2013', positiveCritics=4, neutralCritics=14, negativeCritics=2, positiveUsers=7, neutralUsers=2, negativeUsers=0, metascore=65.0, userScore=67.0}
Juegos{game='Pokemon Mystery Dungeon: Gates to Infinity', platform='3DS', developer='Nintendo, Spike Chunsoft', genre='General', numberPlayers='1 Player', rating='E', releaseDate='Mar 24, 2013', positiveCritics=9, neutralCritics=28, negativeCritics=9, positiveUsers=17, neutralUsers=25, negativeUsers=14, metascore=59.0, userScore=62.0}
Juegos{game='Horizon', platform='PC', developer='L3O Interactive', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jul  2, 2013', positiveCritics=0, neutralCritics=13, negativeCritics=1, positiveUsers=3, neutralUsers=5, negativeUsers=1, metascore=58.0, userScore=67.0}
Juegos{game='Knock-knock', platform='PC', developer='Ice-Pick Lodge', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Oct  4, 2013', positiveCritics=4, neutralCritics=6, negativeCritics=6, positiveUsers=14, neutralUsers=2, negativeUsers=4, metascore=57.0, userScore=83.0}
Juegos{game='The Amazing Spider-Man', platform='VITA', developer='Mercenary Technology', genre='General', numberPlayers='', rating='T', releaseDate='Nov 19, 2013', positiveCritics=1, neutralCritics=3, negativeCritics=3, positiveUsers=7, neutralUsers=4, negativeUsers=1, metascore=55.0, userScore=69.0}
Juegos{game='Dragon Age: Inquisition', platform='PS4', developer='BioWare', genre='General', numberPlayers='Up to 4 ', rating='M', releaseDate='Nov 18, 2014', positiveCritics=42, neutralCritics=1, negativeCritics=0, positiveUsers=300, neutralUsers=89, negativeUsers=53, metascore=89.0, userScore=74.0}
Juegos{game='Dragon Age: Inquisition', platform='XONE', developer='BioWare', genre='General', numberPlayers='Up to 4 ', rating='M', releaseDate='Nov 18, 2014', positiveCritics=24, neutralCritics=4, negativeCritics=0, positiveUsers=98, neutralUsers=30, negativeUsers=30, metascore=85.0, userScore=70.0}
Juegos{game='Valkyria Chronicles', platform='PC', developer='Sega', genre='General', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Nov 11, 2014', positiveCritics=23, neutralCritics=1, negativeCritics=0, positiveUsers=46, neutralUsers=10, negativeUsers=4, metascore=85.0, userScore=82.0}
Juegos{game='Frozen Synapse Prime', platform='VITA', developer='Double Eleven', genre='General', numberPlayers='', rating='T', releaseDate='Sep 23, 2014', positiveCritics=15, neutralCritics=1, negativeCritics=0, positiveUsers=1, neutralUsers=0, negativeUsers=1, metascore=84.0, userScore=72.0}
Juegos{game='The Blackwell Epiphany', platform='PC', developer='Wadjet Eye Games', genre='General', numberPlayers='', rating='', releaseDate='Apr 24, 2014', positiveCritics=13, neutralCritics=1, negativeCritics=0, positiveUsers=8, neutralUsers=0, negativeUsers=0, metascore=83.0, userScore=77.0}
Juegos{game='Kero Blaster', platform='PC', developer='Studio Pixel', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='May 11, 2014', positiveCritics=13, neutralCritics=0, negativeCritics=1, positiveUsers=3, neutralUsers=0, negativeUsers=0, metascore=82.0, userScore=73.0}
Juegos{game='ETHER One', platform='PC', developer='White Paper Games', genre='General', numberPlayers='', rating='E10+', releaseDate='Mar 25, 2014', positiveCritics=16, neutralCritics=4, negativeCritics=0, positiveUsers=2, neutralUsers=2, negativeUsers=1, metascore=82.0, userScore=69.0}
Juegos{game='Broken Age: Act 1', platform='PC', developer='Double Fine Productions', genre='General', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jan 28, 2014', positiveCritics=54, neutralCritics=10, negativeCritics=0, positiveUsers=48, neutralUsers=11, negativeUsers=13, metascore=82.0, userScore=77.0}
Juegos{game='Nidhogg', platform='PC', developer='Messhof', genre='General', numberPlayers='1-2 ', rating='', releaseDate='Jan 13, 2014', positiveCritics=35, neutralCritics=8, negativeCritics=0, positiveUsers=14, neutralUsers=9, negativeUsers=6, metascore=81.0, userScore=68.0}
Juegos{game=''The Walking Dead: Season Two Episode 3 - In Harm''s Way'', platform='PC', developer='Telltale Games', genre='General', numberPlayers='', rating='M', releaseDate='May 13, 2014', positiveCritics=32, neutralCritics=7, negativeCritics=0, positiveUsers=27, neutralUsers=10, negativeUsers=2, metascore=81.0, userScore=83.0}
Juegos{game='Wolfenstein: The New Order', platform='PC', developer='MachineGames', genre='General', numberPlayers='No Online Multiplayer', rating='M', releaseDate='May 19, 2014', positiveCritics=20, neutralCritics=3, negativeCritics=0, positiveUsers=277, neutralUsers=60, negativeUsers=46, metascore=81.0, userScore=82.0}
