Juegos{game='Chaos on Deponia', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Nov  6, 2012', positiveCritics=24, neutralCritics=7, negativeCritics=0, positiveUsers=13, neutralUsers=3, negativeUsers=0, metascore=78.0, userScore=83.0}
Juegos{game='Resonance', platform='PC', developer='xii games', genre='Adventure', numberPlayers='', rating='', releaseDate='Jun 19, 2012', positiveCritics=23, neutralCritics=12, negativeCritics=0, positiveUsers=20, neutralUsers=5, negativeUsers=4, metascore=76.0, userScore=77.0}
Juegos{game='Miasmata', platform='PC', developer='IonFX', genre='Adventure', numberPlayers='', rating='', releaseDate='Nov 28, 2012', positiveCritics=12, neutralCritics=9, negativeCritics=0, positiveUsers=31, neutralUsers=4, negativeUsers=10, metascore=76.0, userScore=77.0}
Juegos{game='Dear Esther', platform='PC', developer='The Chinese Room', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Feb 14, 2012', positiveCritics=29, neutralCritics=5, negativeCritics=3, positiveUsers=115, neutralUsers=52, negativeUsers=82, metascore=75.0, userScore=65.0}
Juegos{game=''Tiny & Big: Grandpa''s Leftovers'', platform='PC', developer='Black Pants', genre='Adventure', numberPlayers='', rating='', releaseDate='Jun 19, 2012', positiveCritics=20, neutralCritics=10, negativeCritics=0, positiveUsers=8, neutralUsers=14, negativeUsers=3, metascore=75.0, userScore=74.0}
Juegos{game=''Edna & Harvey: Harvey''s New Eyes'', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='', rating='', releaseDate='Oct 16, 2012', positiveCritics=11, neutralCritics=8, negativeCritics=0, positiveUsers=5, neutralUsers=2, negativeUsers=0, metascore=75.0, userScore=78.0}
Juegos{game='The Dark Eye: Chains of Satinav', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='', rating='', releaseDate='Jun 22, 2012', positiveCritics=18, neutralCritics=6, negativeCritics=0, positiveUsers=13, neutralUsers=3, negativeUsers=3, metascore=75.0, userScore=77.0}
Juegos{game='Deponia', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Aug  6, 2012', positiveCritics=20, neutralCritics=13, negativeCritics=0, positiveUsers=31, neutralUsers=16, negativeUsers=6, metascore=74.0, userScore=82.0}
Juegos{game='The Testament of Sherlock Holmes', platform='PC', developer='Frogwares', genre='Adventure', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 25, 2012', positiveCritics=9, neutralCritics=9, negativeCritics=0, positiveUsers=14, neutralUsers=6, negativeUsers=6, metascore=73.0, userScore=79.0}
Juegos{game='The Book of Unwritten Tales: Critter Chronicles', platform='PC', developer='KING Art', genre='Adventure', numberPlayers='', rating='T', releaseDate='Dec  5, 2012', positiveCritics=7, neutralCritics=7, negativeCritics=0, positiveUsers=1, neutralUsers=4, negativeUsers=0, metascore=73.0, userScore=68.0}
Juegos{game='The Journey Down: Chapter One', platform='PC', developer='SkyGoblin', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='May 18, 2012', positiveCritics=12, neutralCritics=8, negativeCritics=0, positiveUsers=4, neutralUsers=2, negativeUsers=2, metascore=72.0, userScore=75.0}
Juegos{game='Cognition: An Erica Reed Thriller Episode 1 - The Hangman', platform='PC', developer='Phoenix Online Studios', genre='Adventure', numberPlayers='', rating='', releaseDate='Oct 30, 2012', positiveCritics=9, neutralCritics=9, negativeCritics=1, positiveUsers=11, neutralUsers=3, negativeUsers=5, metascore=72.0, userScore=68.0}
Juegos{game='A New Beginning: Final Cut', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='', rating='', releaseDate='Dec 11, 2012', positiveCritics=12, neutralCritics=6, negativeCritics=2, positiveUsers=8, neutralUsers=2, negativeUsers=6, metascore=72.0, userScore=68.0}
Juegos{game='Megabyte Punch', platform='PC', developer='Reptile', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='May 14, 2012', positiveCritics=2, neutralCritics=5, negativeCritics=0, positiveUsers=7, neutralUsers=1, negativeUsers=1, metascore=69.0, userScore=74.0}
Juegos{game='Secret Files 3', platform='PC', developer='Animation Arts', genre='Adventure', numberPlayers='1 Player', rating='', releaseDate='Sep 13, 2012', positiveCritics=5, neutralCritics=8, negativeCritics=1, positiveUsers=0, neutralUsers=0, negativeUsers=2, metascore=67.0, userScore=62.0}
Juegos{game='Yesterday', platform='PC', developer='Pendulo Studios', genre='Adventure', numberPlayers='', rating='', releaseDate='Mar 22, 2012', positiveCritics=13, neutralCritics=17, negativeCritics=3, positiveUsers=3, neutralUsers=4, negativeUsers=4, metascore=65.0, userScore=69.0}
Juegos{game='Carrier Command: Gaea Mission', platform='PC', developer='Bohemia Interactive', genre='Adventure', numberPlayers='', rating='M', releaseDate='Sep 28, 2012', positiveCritics=2, neutralCritics=18, negativeCritics=3, positiveUsers=10, neutralUsers=10, negativeUsers=16, metascore=60.0, userScore=56.0}
Juegos{game='Da New Guys: Day of the Jackass', platform='PC', developer='Wadjet Eye Games', genre='Adventure', numberPlayers='', rating='', releaseDate='Feb 29, 2012', positiveCritics=1, neutralCritics=6, negativeCritics=2, positiveUsers=1, neutralUsers=1, negativeUsers=0, metascore=56.0, userScore=68.0}
Juegos{game='Anna', platform='PC', developer='Dreampainters', genre='Adventure', numberPlayers='', rating='', releaseDate='Jul 11, 2012', positiveCritics=3, neutralCritics=9, negativeCritics=4, positiveUsers=2, neutralUsers=5, negativeUsers=6, metascore=55.0, userScore=51.0}
Juegos{game='Hoodwink', platform='PC', developer='E-One Studio', genre='Adventure', numberPlayers='1 Player', rating='T', releaseDate='Jun 28, 2012', positiveCritics=0, neutralCritics=2, negativeCritics=10, positiveUsers=1, neutralUsers=0, negativeUsers=1, metascore=29.0, userScore=28.0}
Juegos{game='Papers, Please', platform='PC', developer='Lucas Pope', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Aug  8, 2013', positiveCritics=39, neutralCritics=1, negativeCritics=0, positiveUsers=202, neutralUsers=34, negativeUsers=17, metascore=85.0, userScore=85.0}
Juegos{game=''Monaco: What''s Yours Is Mine'', platform='PC', developer='Pocketwatch Games', genre='Adventure', numberPlayers='1-4 ', rating='T', releaseDate='Apr 24, 2013', positiveCritics=39, neutralCritics=8, negativeCritics=0, positiveUsers=26, neutralUsers=12, negativeUsers=4, metascore=83.0, userScore=77.0}
Juegos{game='Kentucky Route Zero - Act II', platform='PC', developer='Cardboard Computer', genre='Adventure', numberPlayers='', rating='', releaseDate='May 31, 2013', positiveCritics=5, neutralCritics=2, negativeCritics=0, positiveUsers=3, neutralUsers=1, negativeUsers=0, metascore=82.0, userScore=77.0}
Juegos{game='Phoenix Wright: Ace Attorney - Dual Destinies', platform='3DS', developer='Capcom', genre='Adventure', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Oct 24, 2013', positiveCritics=55, neutralCritics=8, negativeCritics=0, positiveUsers=33, neutralUsers=9, negativeUsers=1, metascore=81.0, userScore=83.0}
Juegos{game='Kentucky Route Zero - Act I', platform='PC', developer='Cardboard Computer', genre='Adventure', numberPlayers='', rating='', releaseDate='Jan  7, 2013', positiveCritics=24, neutralCritics=4, negativeCritics=0, positiveUsers=9, neutralUsers=6, negativeUsers=9, metascore=81.0, userScore=75.0}
Juegos{game='Goodbye Deponia', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Oct 17, 2013', positiveCritics=24, neutralCritics=9, negativeCritics=1, positiveUsers=10, neutralUsers=4, negativeUsers=5, metascore=80.0, userScore=78.0}
Juegos{game='Proteus', platform='PC', developer='Ed Key and David Kanaga', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jan 30, 2013', positiveCritics=18, neutralCritics=6, negativeCritics=0, positiveUsers=20, neutralUsers=12, negativeUsers=29, metascore=80.0, userScore=56.0}
Juegos{game='The Book of Unwritten Tales', platform='PC', developer='KING Art', genre='Adventure', numberPlayers='', rating='T', releaseDate='Oct 28, 2011', positiveCritics=28, neutralCritics=4, negativeCritics=0, positiveUsers=31, neutralUsers=4, negativeUsers=2, metascore=82.0, userScore=83.0}
Juegos{game='Gemini Rue', platform='PC', developer='Wadjet Eye Games, Joshua Nuernberger', genre='Adventure', numberPlayers='', rating='', releaseDate='Feb 24, 2011', positiveCritics=21, neutralCritics=3, negativeCritics=0, positiveUsers=40, neutralUsers=7, negativeUsers=3, metascore=82.0, userScore=84.0}
Juegos{game='Runaway: A Twist of Fate', platform='PC', developer='Pendulo Studios', genre='Adventure', numberPlayers='1 Player', rating='T', releaseDate='Apr 21, 2011', positiveCritics=13, neutralCritics=2, negativeCritics=0, positiveUsers=4, neutralUsers=2, negativeUsers=0, metascore=79.0, userScore=79.0}
Juegos{game=''Hamilton''s Great Adventure'', platform='PC', developer='Fatshark AB', genre='Adventure', numberPlayers='No Online Multiplayer', rating='E', releaseDate='May 31, 2011', positiveCritics=7, neutralCritics=3, negativeCritics=0, positiveUsers=6, neutralUsers=2, negativeUsers=0, metascore=77.0, userScore=74.0}
Juegos{game='Black Mirror III: Final Fear', platform='PC', developer='DTP Entertainment, Cranberry Production', genre='Adventure', numberPlayers='', rating='M', releaseDate='Apr 19, 2011', positiveCritics=10, neutralCritics=5, negativeCritics=0, positiveUsers=2, neutralUsers=0, negativeUsers=1, metascore=75.0, userScore=79.0}
Juegos{game='The Next Big Thing', platform='PC', developer='Pendulo Studios', genre='Adventure', numberPlayers='', rating='E10+', releaseDate='Apr 21, 2011', positiveCritics=20, neutralCritics=10, negativeCritics=0, positiveUsers=4, neutralUsers=1, negativeUsers=1, metascore=75.0, userScore=77.0}
Juegos{game='Space Pirates and Zombies', platform='PC', developer='MinMax Games Ltd.', genre='Adventure', numberPlayers='', rating='', releaseDate='Jun 19, 2011', positiveCritics=6, neutralCritics=6, negativeCritics=0, positiveUsers=37, neutralUsers=20, negativeUsers=3, metascore=74.0, userScore=76.0}
Juegos{game='The Blackwell Deception', platform='PC', developer='Wadjet Eye Games', genre='Adventure', numberPlayers='', rating='', releaseDate='Oct 12, 2011', positiveCritics=5, neutralCritics=5, negativeCritics=0, positiveUsers=4, neutralUsers=0, negativeUsers=0, metascore=73.0, userScore=78.0}
Juegos{game='Gray Matter', platform='PC', developer='Wizarbox', genre='Adventure', numberPlayers='', rating='T', releaseDate='Feb 22, 2011', positiveCritics=17, neutralCritics=9, negativeCritics=1, positiveUsers=10, neutralUsers=3, negativeUsers=2, metascore=72.0, userScore=77.0}
Juegos{game='Black Mirror II: Reigning Evil', platform='PC', developer='Cranberry Studios', genre='Adventure', numberPlayers='', rating='T', releaseDate='Feb  8, 2011', positiveCritics=7, neutralCritics=6, negativeCritics=1, positiveUsers=4, neutralUsers=1, negativeUsers=1, metascore=71.0, userScore=77.0}
Juegos{game='The Tiny Bang Story', platform='PC', developer='Colibri Games', genre='Adventure', numberPlayers='1 Player', rating='', releaseDate='Apr 22, 2011', positiveCritics=3, neutralCritics=7, negativeCritics=2, positiveUsers=8, neutralUsers=7, negativeUsers=4, metascore=63.0, userScore=72.0}
Juegos{game='The Adventures of Tintin: The Game', platform='3DS', developer='Ubisoft Montpellier', genre='Adventure', numberPlayers='', rating='E10+', releaseDate='Dec  6, 2011', positiveCritics=0, neutralCritics=6, negativeCritics=2, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=56.0, userScore=52.0}
Juegos{game='Edna & Harvey: The Breakout', platform='PC', developer='Daedalic Entertainment', genre='Adventure', numberPlayers='1 Player', rating='T', releaseDate='Jan  3, 2011', positiveCritics=0, neutralCritics=6, negativeCritics=1, positiveUsers=4, neutralUsers=4, negativeUsers=0, metascore=56.0, userScore=65.0}
Juegos{game='Jurassic Park: The Game', platform='PC', developer='Telltale Games', genre='Adventure', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Nov 15, 2011', positiveCritics=2, neutralCritics=21, negativeCritics=11, positiveUsers=23, neutralUsers=16, negativeUsers=37, metascore=54.0, userScore=46.0}
Juegos{game='Alpha Polaris: A Horror Adventure Game', platform='PC', developer='Turmoil Games', genre='Adventure', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jun 24, 2011', positiveCritics=0, neutralCritics=5, negativeCritics=3, positiveUsers=0, neutralUsers=2, negativeUsers=0, metascore=52.0, userScore=46.0}
