Juegos{game='Funky Barn', platform='WIIU', developer='Tantalus', genre='Simulation', numberPlayers='1 Player', rating='E', releaseDate='Nov 18, 2012', positiveCritics=0, neutralCritics=8, negativeCritics=2, positiveUsers=2, neutralUsers=0, negativeUsers=1, metascore=50.0, userScore=52.0}
Juegos{game='Legends of Pegasus', platform='PC', developer='Kalypso, Novacore Studios', genre='Simulation', numberPlayers='', rating='E10+', releaseDate='Aug 10, 2012', positiveCritics=0, neutralCritics=3, negativeCritics=8, positiveUsers=3, neutralUsers=3, negativeUsers=57, metascore=36.0, userScore=15.0}
Juegos{game='Animal Crossing: New Leaf', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='Up to 4 ', rating='E', releaseDate='Jun  9, 2013', positiveCritics=64, neutralCritics=6, negativeCritics=0, positiveUsers=142, neutralUsers=8, negativeUsers=5, metascore=88.0, userScore=88.0}
Juegos{game='Starseed Pilgrim', platform='PC', developer='Droqen', genre='Simulation', numberPlayers='', rating='', releaseDate='Apr 16, 2013', positiveCritics=9, neutralCritics=3, negativeCritics=0, positiveUsers=4, neutralUsers=3, negativeUsers=7, metascore=83.0, userScore=61.0}
Juegos{game='The Sims 3: Into the Future', platform='PC', developer='Maxis', genre='Simulation', numberPlayers='', rating='T', releaseDate='Oct 22, 2013', positiveCritics=8, neutralCritics=1, negativeCritics=0, positiveUsers=3, neutralUsers=0, negativeUsers=0, metascore=80.0, userScore=54.0}
Juegos{game='The Sims 3: Pets', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Oct 18, 2011', positiveCritics=13, neutralCritics=5, negativeCritics=0, positiveUsers=5, neutralUsers=2, negativeUsers=3, metascore=79.0, userScore=61.0}
Juegos{game='The Sims Medieval', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Mar 22, 2011', positiveCritics=35, neutralCritics=21, negativeCritics=0, positiveUsers=24, neutralUsers=14, negativeUsers=16, metascore=77.0, userScore=60.0}
Juegos{game='Nintendogs + Cats: French Bulldog & New Friends', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='', rating='E', releaseDate='Mar 27, 2011', positiveCritics=13, neutralCritics=27, negativeCritics=0, positiveUsers=4, neutralUsers=1, negativeUsers=1, metascore=71.0, userScore=71.0}
Juegos{game='Nintendogs + Cats: Toy Poodle & New Friends', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='', rating='E', releaseDate='Mar 27, 2011', positiveCritics=14, neutralCritics=29, negativeCritics=0, positiveUsers=4, neutralUsers=1, negativeUsers=0, metascore=71.0, userScore=71.0}
Juegos{game='Nintendogs + Cats: Golden Retriever & New Friends', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='', rating='E', releaseDate='Mar 27, 2011', positiveCritics=13, neutralCritics=29, negativeCritics=0, positiveUsers=8, neutralUsers=6, negativeUsers=0, metascore=71.0, userScore=73.0}
Juegos{game='Pilotwings Resort', platform='3DS', developer='Monster Games Inc.', genre='Simulation', numberPlayers='', rating='E', releaseDate='Mar 27, 2011', positiveCritics=24, neutralCritics=40, negativeCritics=0, positiveUsers=23, neutralUsers=15, negativeUsers=2, metascore=71.0, userScore=72.0}
Juegos{game='Take On Helicopters', platform='PC', developer='Bohemia Interactive', genre='Simulation', numberPlayers='', rating='T', releaseDate='Oct 16, 2011', positiveCritics=6, neutralCritics=4, negativeCritics=0, positiveUsers=7, neutralUsers=2, negativeUsers=2, metascore=70.0, userScore=67.0}
Juegos{game='Cities in Motion', platform='PC', developer='Colossal Order', genre='Simulation', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Feb 22, 2011', positiveCritics=10, neutralCritics=9, negativeCritics=1, positiveUsers=17, neutralUsers=4, negativeUsers=8, metascore=70.0, userScore=77.0}
Juegos{game='The Sims 3: Generations', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='1 Player', rating='T', releaseDate='May 31, 2011', positiveCritics=9, neutralCritics=12, negativeCritics=1, positiveUsers=4, neutralUsers=2, negativeUsers=3, metascore=70.0, userScore=37.0}
Juegos{game='Railworks 3: Train Simulator 2012', platform='PC', developer='RailSimulator.com', genre='Simulation', numberPlayers='', rating='E', releaseDate='Sep 23, 2011', positiveCritics=3, neutralCritics=5, negativeCritics=1, positiveUsers=14, neutralUsers=2, negativeUsers=8, metascore=67.0, userScore=64.0}
Juegos{game='The Sims Medieval: Pirates & Nobles', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Aug 30, 2011', positiveCritics=7, neutralCritics=5, negativeCritics=1, positiveUsers=3, neutralUsers=0, negativeUsers=1, metascore=67.0, userScore=47.0}
Juegos{game='IL-2 Sturmovik: Cliffs of Dover', platform='PC', developer='1C: Maddox Games', genre='Simulation', numberPlayers='64+  Online', rating='T', releaseDate='Apr 26, 2011', positiveCritics=3, neutralCritics=7, negativeCritics=3, positiveUsers=42, neutralUsers=6, negativeUsers=19, metascore=60.0, userScore=71.0}
Juegos{game='Crasher', platform='PC', developer='Punchers Impact', genre='Simulation', numberPlayers='', rating='', releaseDate='Jan 28, 2011', positiveCritics=1, neutralCritics=5, negativeCritics=2, positiveUsers=0, neutralUsers=1, negativeUsers=0, metascore=55.0, userScore=70.0}
Juegos{game='The Sims 3', platform='3DS', developer='EA Games', genre='Simulation', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Mar 22, 2011', positiveCritics=2, neutralCritics=15, negativeCritics=12, positiveUsers=0, neutralUsers=0, negativeUsers=7, metascore=52.0, userScore=31.0}
Juegos{game='FTL: Faster Than Light', platform='PC', developer='Subset Games', genre='Simulation', numberPlayers='', rating='', releaseDate='Sep 14, 2012', positiveCritics=41, neutralCritics=1, negativeCritics=0, positiveUsers=273, neutralUsers=35, negativeUsers=55, metascore=84.0, userScore=84.0}
Juegos{game='The Sims 3 Supernatural', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Sep  4, 2012', positiveCritics=11, neutralCritics=4, negativeCritics=1, positiveUsers=3, neutralUsers=4, negativeUsers=1, metascore=74.0, userScore=63.0}
Juegos{game='The Sims 3 Seasons', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Nov 13, 2012', positiveCritics=8, neutralCritics=4, negativeCritics=0, positiveUsers=4, neutralUsers=0, negativeUsers=0, metascore=73.0, userScore=75.0}
Juegos{game='Aero Porter', platform='3DS', developer='Vivarium', genre='Simulation', numberPlayers='', rating='E', releaseDate='Nov 29, 2012', positiveCritics=7, neutralCritics=9, negativeCritics=0, positiveUsers=2, neutralUsers=0, negativeUsers=0, metascore=70.0, userScore=74.0}
Juegos{game='The Sims 3: Showtime', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Mar  6, 2012', positiveCritics=7, neutralCritics=9, negativeCritics=1, positiveUsers=5, neutralUsers=6, negativeUsers=1, metascore=67.0, userScore=53.0}
Juegos{game='Microsoft Flight', platform='PC', developer='Microsoft Game Studios', genre='Simulation', numberPlayers='', rating='E', releaseDate='Feb 29, 2012', positiveCritics=6, neutralCritics=14, negativeCritics=1, positiveUsers=6, neutralUsers=10, negativeUsers=28, metascore=64.0, userScore=36.0}
Juegos{game='Galaxy On Fire 2 Full HD', platform='PC', developer='Fishlabs', genre='Simulation', numberPlayers='1 Player', rating='', releaseDate='Aug 21, 2012', positiveCritics=2, neutralCritics=4, negativeCritics=1, positiveUsers=6, neutralUsers=6, negativeUsers=1, metascore=63.0, userScore=66.0}
Juegos{game='Funky Barn', platform='WIIU', developer='Tantalus', genre='Simulation', numberPlayers='1 Player', rating='E', releaseDate='Nov 18, 2012', positiveCritics=0, neutralCritics=8, negativeCritics=2, positiveUsers=2, neutralUsers=0, negativeUsers=1, metascore=50.0, userScore=52.0}
Juegos{game='Legends of Pegasus', platform='PC', developer='Kalypso, Novacore Studios', genre='Simulation', numberPlayers='', rating='E10+', releaseDate='Aug 10, 2012', positiveCritics=0, neutralCritics=3, negativeCritics=8, positiveUsers=3, neutralUsers=3, negativeUsers=57, metascore=36.0, userScore=15.0}
Juegos{game='Animal Crossing: New Leaf', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='Up to 4 ', rating='E', releaseDate='Jun  9, 2013', positiveCritics=64, neutralCritics=6, negativeCritics=0, positiveUsers=142, neutralUsers=8, negativeUsers=5, metascore=88.0, userScore=88.0}
Juegos{game='Starseed Pilgrim', platform='PC', developer='Droqen', genre='Simulation', numberPlayers='', rating='', releaseDate='Apr 16, 2013', positiveCritics=9, neutralCritics=3, negativeCritics=0, positiveUsers=4, neutralUsers=3, negativeUsers=7, metascore=83.0, userScore=61.0}
Juegos{game='The Sims 3: Into the Future', platform='PC', developer='Maxis', genre='Simulation', numberPlayers='', rating='T', releaseDate='Oct 22, 2013', positiveCritics=8, neutralCritics=1, negativeCritics=0, positiveUsers=3, neutralUsers=0, negativeUsers=0, metascore=80.0, userScore=54.0}
Juegos{game='Euro Truck Simulator 2', platform='PC', developer='SCS Software', genre='Simulation', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jan 16, 2013', positiveCritics=14, neutralCritics=4, negativeCritics=0, positiveUsers=189, neutralUsers=28, negativeUsers=10, metascore=79.0, userScore=87.0}
Juegos{game='Arma 3', platform='PC', developer='Bohemia Interactive', genre='Simulation', numberPlayers='Online Multiplayer', rating='M', releaseDate='Mar  5, 2013', positiveCritics=20, neutralCritics=16, negativeCritics=2, positiveUsers=148, neutralUsers=41, negativeUsers=74, metascore=74.0, userScore=75.0}
Juegos{game='The Sims 3: Island Paradise', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Jun 25, 2013', positiveCritics=5, neutralCritics=4, negativeCritics=0, positiveUsers=4, neutralUsers=2, negativeUsers=3, metascore=73.0, userScore=58.0}
Juegos{game='Gas Guzzlers Extreme', platform='PC', developer='Gamepires', genre='Simulation', numberPlayers='', rating='', releaseDate='Oct  8, 2013', positiveCritics=6, neutralCritics=3, negativeCritics=0, positiveUsers=24, neutralUsers=5, negativeUsers=0, metascore=73.0, userScore=86.0}
Juegos{game='The Sims 3: University Life', platform='PC', developer='The Sims Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Mar  5, 2013', positiveCritics=8, neutralCritics=3, negativeCritics=0, positiveUsers=5, neutralUsers=4, negativeUsers=1, metascore=72.0, userScore=70.0}
Juegos{game='Cities in Motion 2', platform='PC', developer='Colossal Order', genre='Simulation', numberPlayers='', rating='', releaseDate='Apr  2, 2013', positiveCritics=7, neutralCritics=8, negativeCritics=0, positiveUsers=25, neutralUsers=15, negativeUsers=11, metascore=72.0, userScore=73.0}
Juegos{game='Surgeon Simulator 2013', platform='PC', developer='Bossa Studios', genre='Simulation', numberPlayers='', rating='', releaseDate='Apr 19, 2013', positiveCritics=8, neutralCritics=10, negativeCritics=0, positiveUsers=23, neutralUsers=18, negativeUsers=23, metascore=71.0, userScore=59.0}
Juegos{game='Redshirt', platform='PC', developer='The Tiniest Shark', genre='Simulation', numberPlayers='', rating='', releaseDate='Nov 13, 2013', positiveCritics=2, neutralCritics=13, negativeCritics=1, positiveUsers=2, neutralUsers=4, negativeUsers=7, metascore=62.0, userScore=54.0}
Juegos{game=''Bientot l''ete'', platform='PC', developer='Tale of Tales', genre='Simulation', numberPlayers='', rating='', releaseDate='Feb  6, 2013', positiveCritics=1, neutralCritics=8, negativeCritics=3, positiveUsers=1, neutralUsers=2, negativeUsers=5, metascore=62.0, userScore=44.0}
Juegos{game='Omerta: City of Gangsters', platform='PC', developer='Kalypso', genre='Simulation', numberPlayers='', rating='T', releaseDate='Jan 31, 2013', positiveCritics=3, neutralCritics=26, negativeCritics=12, positiveUsers=8, neutralUsers=18, negativeUsers=29, metascore=54.0, userScore=49.0}
Juegos{game='Disney Planes', platform='WIIU', developer='Behaviour Interactive', genre='Simulation', numberPlayers='', rating='E', releaseDate='Aug  6, 2013', positiveCritics=0, neutralCritics=6, negativeCritics=4, positiveUsers=1, neutralUsers=0, negativeUsers=0, metascore=51.0, userScore=53.0}
Juegos{game='HomeTown Story', platform='3DS', developer='TOYBOX', genre='Simulation', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Oct 17, 2013', positiveCritics=0, neutralCritics=6, negativeCritics=8, positiveUsers=0, neutralUsers=5, negativeUsers=5, metascore=47.0, userScore=60.0}
Juegos{game='X Rebirth', platform='PC', developer='Egosoft', genre='Simulation', numberPlayers='', rating='T', releaseDate='Nov 15, 2013', positiveCritics=0, neutralCritics=0, negativeCritics=24, positiveUsers=97, neutralUsers=66, negativeUsers=471, metascore=33.0, userScore=32.0}
Juegos{game='GoD Factory: Wingmen', platform='PC', developer='Nine Dots Studio', genre='Simulation', numberPlayers='', rating='T', releaseDate='Aug 29, 2014', positiveCritics=8, neutralCritics=3, negativeCritics=0, positiveUsers=0, neutralUsers=0, negativeUsers=0, metascore=76.0, userScore=66.0}
Juegos{game='Disney Magical World', platform='3DS', developer='h.a.n.d. Inc.', genre='Simulation', numberPlayers='', rating='E', releaseDate='Apr 11, 2014', positiveCritics=10, neutralCritics=16, negativeCritics=1, positiveUsers=3, neutralUsers=2, negativeUsers=0, metascore=71.0, userScore=74.0}
Juegos{game='Tomodachi Life', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Jun  6, 2014', positiveCritics=22, neutralCritics=30, negativeCritics=0, positiveUsers=45, neutralUsers=20, negativeUsers=4, metascore=71.0, userScore=76.0}
Juegos{game='Steel Diver: Sub Wars', platform='3DS', developer='Nintendo', genre='Simulation', numberPlayers='', rating='E10+', releaseDate='Feb 13, 2014', positiveCritics=7, neutralCritics=4, negativeCritics=1, positiveUsers=12, neutralUsers=1, negativeUsers=1, metascore=70.0, userScore=74.0}
Juegos{game='Train Fever', platform='PC', developer='Urban Games', genre='Simulation', numberPlayers='', rating='', releaseDate='Sep  4, 2014', positiveCritics=7, neutralCritics=16, negativeCritics=0, positiveUsers=10, neutralUsers=4, negativeUsers=10, metascore=67.0, userScore=69.0}
Juegos{game='Farming Simulator 15', platform='PC', developer='Giants Software', genre='Simulation', numberPlayers='', rating='E', releaseDate='Oct 30, 2014', positiveCritics=6, neutralCritics=9, negativeCritics=3, positiveUsers=10, neutralUsers=5, negativeUsers=5, metascore=64.0, userScore=74.0}
Juegos{game='PlayStation Vita Pets', platform='VITA', developer='Spiral House', genre='Simulation', numberPlayers='', rating='E', releaseDate='Jun  3, 2014', positiveCritics=3, neutralCritics=12, negativeCritics=1, positiveUsers=1, neutralUsers=1, negativeUsers=0, metascore=63.0, userScore=75.0}
Juegos{game='Cel Damage HD', platform='PS4', developer='Finish Line Games', genre='Simulation', numberPlayers='', rating='T', releaseDate='Apr 22, 2014', positiveCritics=0, neutralCritics=10, negativeCritics=1, positiveUsers=1, neutralUsers=3, negativeUsers=1, metascore=58.0, userScore=61.0}
Juegos{game='Surgeon Simulator: Anniversary Edition', platform='PS4', developer='Bossa Studios', genre='Simulation', numberPlayers='', rating='T', releaseDate='Aug 12, 2014', positiveCritics=2, neutralCritics=13, negativeCritics=4, positiveUsers=4, neutralUsers=6, negativeUsers=4, metascore=56.0, userScore=51.0}
Juegos{game='Elite: Dangerous', platform='XONE', developer='Frontier Developments', genre='Simulation', numberPlayers='Up to 16 ', rating='T', releaseDate='Oct  6, 2015', positiveCritics=26, neutralCritics=4, negativeCritics=0, positiveUsers=14, neutralUsers=3, negativeUsers=11, metascore=80.0, userScore=72.0}
