Juegos{game='Thief', platform='XONE', developer='Eidos Montreal', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Feb 25, 2014', positiveCritics=9, neutralCritics=11, negativeCritics=1, positiveUsers=26, neutralUsers=25, negativeUsers=24, metascore=69.0, userScore=59.0}
Juegos{game='Thief', platform='PS4', developer='Eidos Montreal', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Feb 25, 2014', positiveCritics=18, neutralCritics=27, negativeCritics=3, positiveUsers=67, neutralUsers=65, negativeUsers=42, metascore=67.0, userScore=62.0}
Juegos{game='Bloodborne', platform='PS4', developer='From Software', genre='Fantasy', numberPlayers='Up to 5 ', rating='M', releaseDate='Mar 24, 2015', positiveCritics=99, neutralCritics=1, negativeCritics=0, positiveUsers=1298, neutralUsers=108, negativeUsers=118, metascore=92.0, userScore=89.0}
Juegos{game=''The Legend of Zelda: Majora''s Mask 3D'', platform='3DS', developer='GREZZO', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Feb 13, 2015', positiveCritics=81, neutralCritics=1, negativeCritics=0, positiveUsers=103, neutralUsers=12, negativeUsers=7, metascore=89.0, userScore=89.0}
Juegos{game='DmC: Devil May Cry Definitive Edition', platform='XONE', developer='Ninja Theory, QLOC', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Mar 10, 2015', positiveCritics=20, neutralCritics=0, negativeCritics=0, positiveUsers=15, neutralUsers=4, negativeUsers=3, metascore=86.0, userScore=75.0}
Juegos{game='Rise of the Tomb Raider', platform='XONE', developer='Crystal Dynamics', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Nov 10, 2015', positiveCritics=96, neutralCritics=6, negativeCritics=0, positiveUsers=181, neutralUsers=18, negativeUsers=16, metascore=86.0, userScore=80.0}
Juegos{game='Chaos Reborn', platform='PC', developer='Snapshot Games Inc.', genre='Fantasy', numberPlayers='', rating='', releaseDate='Oct 26, 2015', positiveCritics=10, neutralCritics=0, negativeCritics=0, positiveUsers=22, neutralUsers=5, negativeUsers=1, metascore=85.0, userScore=81.0}
Juegos{game='DmC: Devil May Cry Definitive Edition', platform='PS4', developer='Ninja Theory, QLOC', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Mar 10, 2015', positiveCritics=50, neutralCritics=3, negativeCritics=0, positiveUsers=43, neutralUsers=8, negativeUsers=6, metascore=83.0, userScore=73.0}
Juegos{game='Splatoon', platform='WIIU', developer='Nintendo', genre='Fantasy', numberPlayers='Up to 8 ', rating='E10+', releaseDate='May 29, 2015', positiveCritics=75, neutralCritics=13, negativeCritics=0, positiveUsers=343, neutralUsers=37, negativeUsers=17, metascore=81.0, userScore=87.0}
Juegos{game='Disgaea 5: Alliance of Vengeance', platform='PS4', developer='Nippon Ichi Software', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Oct  6, 2015', positiveCritics=35, neutralCritics=8, negativeCritics=0, positiveUsers=18, neutralUsers=0, negativeUsers=1, metascore=80.0, userScore=82.0}
Juegos{game='Devil May Cry 4: Special Edition', platform='XONE', developer='Capcom', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Jun 23, 2015', positiveCritics=19, neutralCritics=12, negativeCritics=0, positiveUsers=5, neutralUsers=0, negativeUsers=0, metascore=76.0, userScore=85.0}
Juegos{game='Devil May Cry 4: Special Edition', platform='PS4', developer='Capcom', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Jun 23, 2015', positiveCritics=18, neutralCritics=10, negativeCritics=0, positiveUsers=22, neutralUsers=10, negativeUsers=2, metascore=75.0, userScore=81.0}
Juegos{game='Magicka 2', platform='PS4', developer='Pieces Interactive', genre='Fantasy', numberPlayers='Up to 4 ', rating='T', releaseDate='May 26, 2015', positiveCritics=6, neutralCritics=12, negativeCritics=0, positiveUsers=3, neutralUsers=7, negativeUsers=8, metascore=72.0, userScore=63.0}
Juegos{game='Magicka 2', platform='PC', developer='Pieces Interactive', genre='Fantasy', numberPlayers='', rating='T', releaseDate='May 26, 2015', positiveCritics=12, neutralCritics=24, negativeCritics=1, positiveUsers=6, neutralUsers=4, negativeUsers=7, metascore=69.0, userScore=57.0}
Juegos{game='Might & Magic: Heroes VII', platform='PC', developer='Limbic Entertainment', genre='Fantasy', numberPlayers='', rating='T', releaseDate='Sep 29, 2015', positiveCritics=12, neutralCritics=24, negativeCritics=3, positiveUsers=45, neutralUsers=20, negativeUsers=73, metascore=67.0, userScore=49.0}
Juegos{game='Cradle', platform='PC', developer='Flying Cafe for Semianimals', genre='Fantasy', numberPlayers='', rating='', releaseDate='Jul 24, 2015', positiveCritics=3, neutralCritics=5, negativeCritics=1, positiveUsers=7, neutralUsers=2, negativeUsers=4, metascore=65.0, userScore=76.0}
Juegos{game='Kholat', platform='PC', developer='IMGN.PRO', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='', releaseDate='Jun  9, 2015', positiveCritics=11, neutralCritics=23, negativeCritics=4, positiveUsers=5, neutralUsers=5, negativeUsers=3, metascore=64.0, userScore=71.0}
Juegos{game='Rack N Ruin', platform='PS4', developer='LifeSpark Entertainment', genre='Fantasy', numberPlayers='', rating='T', releaseDate='Mar 31, 2015', positiveCritics=1, neutralCritics=10, negativeCritics=1, positiveUsers=1, neutralUsers=0, negativeUsers=0, metascore=59.0, userScore=66.0}
Juegos{game='Toren', platform='PC', developer='Swordtales', genre='Fantasy', numberPlayers='', rating='T', releaseDate='May 11, 2015', positiveCritics=2, neutralCritics=13, negativeCritics=4, positiveUsers=19, neutralUsers=3, negativeUsers=14, metascore=57.0, userScore=59.0}
Juegos{game='Toren', platform='PS4', developer='Swordtales', genre='Fantasy', numberPlayers='', rating='T', releaseDate='May 12, 2015', positiveCritics=5, neutralCritics=15, negativeCritics=5, positiveUsers=4, neutralUsers=2, negativeUsers=5, metascore=56.0, userScore=54.0}
Juegos{game='Son of Nor', platform='PC', developer='stillalive studios', genre='Fantasy', numberPlayers='', rating='', releaseDate='Mar 31, 2015', positiveCritics=1, neutralCritics=10, negativeCritics=3, positiveUsers=8, neutralUsers=1, negativeUsers=1, metascore=54.0, userScore=77.0}
Juegos{game='Submerged', platform='PC', developer='Uppercut Games, Uppercut Games Pty Ltd', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='', releaseDate='Aug  3, 2015', positiveCritics=1, neutralCritics=5, negativeCritics=6, positiveUsers=3, neutralUsers=5, negativeUsers=3, metascore=47.0, userScore=50.0}
Juegos{game='Owlboy', platform='PC', developer='D-Pad Studio', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Nov  1, 2016', positiveCritics=44, neutralCritics=3, negativeCritics=0, positiveUsers=23, neutralUsers=14, negativeUsers=7, metascore=88.0, userScore=77.0}
Juegos{game='Fire Emblem Fates: Conquest', platform='3DS', developer='Intelligent Systems', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Feb 19, 2016', positiveCritics=39, neutralCritics=1, negativeCritics=0, positiveUsers=57, neutralUsers=14, negativeUsers=13, metascore=87.0, userScore=82.0}
Juegos{game='The Last Guardian', platform='PS4', developer='SCE Japan Studio', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Dec  6, 2016', positiveCritics=82, neutralCritics=27, negativeCritics=1, positiveUsers=270, neutralUsers=69, negativeUsers=68, metascore=82.0, userScore=80.0}
Juegos{game='Duelyst', platform='PC', developer='Counterplay Games', genre='Fantasy', numberPlayers='Online Multiplayer', rating='', releaseDate='May  3, 2016', positiveCritics=12, neutralCritics=2, negativeCritics=0, positiveUsers=9, neutralUsers=1, negativeUsers=3, metascore=82.0, userScore=77.0}
Juegos{game='Severed', platform='VITA', developer='DrinkBox Studios', genre='Fantasy', numberPlayers='', rating='T', releaseDate='Apr 26, 2016', positiveCritics=54, neutralCritics=9, negativeCritics=1, positiveUsers=12, neutralUsers=0, negativeUsers=1, metascore=82.0, userScore=78.0}
Juegos{game='Starbound', platform='PC', developer='Chucklefish', genre='Fantasy', numberPlayers='Online Multiplayer', rating='E10+', releaseDate='Jul 22, 2016', positiveCritics=18, neutralCritics=3, negativeCritics=0, positiveUsers=52, neutralUsers=33, negativeUsers=33, metascore=81.0, userScore=71.0}
Juegos{game='ABZU', platform='PS4', developer='Giant Squid', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='E', releaseDate='Aug  2, 2016', positiveCritics=53, neutralCritics=16, negativeCritics=3, positiveUsers=37, neutralUsers=19, negativeUsers=5, metascore=78.0, userScore=76.0}
Juegos{game='Clockwork Empires', platform='PC', developer='Gaslamp Games', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='RP', releaseDate='Oct 26, 2016', positiveCritics=1, neutralCritics=6, negativeCritics=1, positiveUsers=0, neutralUsers=0, negativeUsers=1, metascore=58.0, userScore=35.0}
Juegos{game='The Legend of Zelda: Breath of the Wild', platform='WIIU', developer='Nintendo', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Mar  3, 2017', positiveCritics=13, neutralCritics=0, negativeCritics=0, positiveUsers=381, neutralUsers=44, negativeUsers=32, metascore=96.0, userScore=82.0}
Juegos{game='Night in the Woods', platform='PC', developer='Infinite Fall', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='', releaseDate='Feb 21, 2017', positiveCritics=30, neutralCritics=0, negativeCritics=0, positiveUsers=24, neutralUsers=11, negativeUsers=9, metascore=88.0, userScore=78.0}
Juegos{game='Night in the Woods', platform='PS4', developer='Infinite Fall', genre='Fantasy', numberPlayers='', rating='T', releaseDate='Feb 21, 2017', positiveCritics=15, neutralCritics=0, negativeCritics=0, positiveUsers=22, neutralUsers=2, negativeUsers=3, metascore=87.0, userScore=74.0}
Juegos{game=''Hellblade: Senua''s Sacrifice'', platform='PS4', developer='Ninja Theory', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Aug  8, 2017', positiveCritics=61, neutralCritics=6, negativeCritics=1, positiveUsers=142, neutralUsers=22, negativeUsers=28, metascore=81.0, userScore=81.0}
Juegos{game='Dreamfall Chapters', platform='PS4', developer='Red Thread Games', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='', releaseDate='May  5, 2017', positiveCritics=7, neutralCritics=17, negativeCritics=1, positiveUsers=1, neutralUsers=2, negativeUsers=1, metascore=67.0, userScore=65.0}
Juegos{game='Ghost of a Tale', platform='PC', developer='Ghost of a Tale, SeithCG', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='', releaseDate='Mar 13, 2018', positiveCritics=15, neutralCritics=10, negativeCritics=0, positiveUsers=9, neutralUsers=2, negativeUsers=1, metascore=75.0, userScore=82.0}
Juegos{game='Magicka: Vietnam', platform='PC', developer='Arrowhead Game Studios', genre='Fantasy', numberPlayers='', rating='T', releaseDate='Apr 12, 2011', positiveCritics=2, neutralCritics=5, negativeCritics=1, positiveUsers=2, neutralUsers=2, negativeUsers=0, metascore=60.0, userScore=67.0}
Juegos{game='World of Warcraft: Mists of Pandaria', platform='PC', developer='Blizzard Entertainment', genre='Fantasy', numberPlayers='Massively Multiplayer', rating='T', releaseDate='Sep 25, 2012', positiveCritics=38, neutralCritics=4, negativeCritics=0, positiveUsers=146, neutralUsers=36, negativeUsers=227, metascore=82.0, userScore=50.0}
Juegos{game='Max: The Curse of Brotherhood', platform='XONE', developer='Press Play', genre='Fantasy', numberPlayers='', rating='E10+', releaseDate='Dec 20, 2013', positiveCritics=26, neutralCritics=25, negativeCritics=0, positiveUsers=55, neutralUsers=10, negativeUsers=3, metascore=72.0, userScore=74.0}
Juegos{game='Middle-earth: Shadow of Mordor', platform='XONE', developer='Monolith Productions', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 30, 2014', positiveCritics=12, neutralCritics=0, negativeCritics=0, positiveUsers=128, neutralUsers=23, negativeUsers=8, metascore=87.0, userScore=80.0}
Juegos{game='Final Fantasy XIV Online: A Realm Reborn', platform='PS4', developer='Square Enix', genre='Fantasy', numberPlayers='Up to 64 ', rating='T', releaseDate='Apr 14, 2014', positiveCritics=33, neutralCritics=2, negativeCritics=0, positiveUsers=43, neutralUsers=11, negativeUsers=17, metascore=86.0, userScore=73.0}
Juegos{game='Middle-earth: Shadow of Mordor', platform='PC', developer='Monolith Productions', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 30, 2014', positiveCritics=14, neutralCritics=3, negativeCritics=0, positiveUsers=270, neutralUsers=90, negativeUsers=40, metascore=84.0, userScore=79.0}
Juegos{game='Middle-earth: Shadow of Mordor', platform='PS4', developer='Monolith Productions', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Sep 30, 2014', positiveCritics=77, neutralCritics=8, negativeCritics=0, positiveUsers=395, neutralUsers=91, negativeUsers=42, metascore=84.0, userScore=80.0}
Juegos{game='The Wolf Among Us: Episode 5 - Cry Wolf', platform='PC', developer='Telltale Games', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Jul  8, 2014', positiveCritics=27, neutralCritics=6, negativeCritics=0, positiveUsers=35, neutralUsers=3, negativeUsers=1, metascore=84.0, userScore=88.0}
Juegos{game='The Wolf Among Us: Episode 3 - A Crooked Mile', platform='PC', developer='Telltale Games', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Apr  8, 2014', positiveCritics=31, neutralCritics=7, negativeCritics=0, positiveUsers=21, neutralUsers=2, negativeUsers=1, metascore=82.0, userScore=86.0}
Juegos{game='Age of Wonders III - Golden Realms', platform='PC', developer='Triumph Studios', genre='Fantasy', numberPlayers='', rating='', releaseDate='Sep 18, 2014', positiveCritics=6, neutralCritics=2, negativeCritics=0, positiveUsers=10, neutralUsers=0, negativeUsers=1, metascore=82.0, userScore=86.0}
Juegos{game='Disgaea 4: A Promise Revisited', platform='VITA', developer='Nippon Ichi Software', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='T', releaseDate='Aug 12, 2014', positiveCritics=28, neutralCritics=4, negativeCritics=0, positiveUsers=9, neutralUsers=1, negativeUsers=0, metascore=82.0, userScore=81.0}
Juegos{game='Strider', platform='PS4', developer='Double Helix Games', genre='Fantasy', numberPlayers='', rating='E10+', releaseDate='Feb 18, 2014', positiveCritics=24, neutralCritics=14, negativeCritics=0, positiveUsers=19, neutralUsers=12, negativeUsers=3, metascore=77.0, userScore=71.0}
Juegos{game='Strider', platform='XONE', developer='Double Helix Games', genre='Fantasy', numberPlayers='', rating='E10+', releaseDate='Feb 19, 2014', positiveCritics=16, neutralCritics=10, negativeCritics=0, positiveUsers=9, neutralUsers=3, negativeUsers=1, metascore=76.0, userScore=70.0}
Juegos{game='The Wolf Among Us: Episode 2 - Smoke and Mirrors', platform='PC', developer='Telltale Games', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Feb  4, 2014', positiveCritics=26, neutralCritics=17, negativeCritics=0, positiveUsers=32, neutralUsers=9, negativeUsers=2, metascore=76.0, userScore=83.0}
Juegos{game=''The Wolf Among Us: Episode 4 - In Sheep''s Clothing'', platform='PC', developer='Telltale Games', genre='Fantasy', numberPlayers='', rating='M', releaseDate='May 27, 2014', positiveCritics=16, neutralCritics=13, negativeCritics=0, positiveUsers=16, neutralUsers=3, negativeUsers=2, metascore=75.0, userScore=82.0}
Juegos{game='Might & Magic X: Legacy', platform='PC', developer='Limbic Entertainment', genre='Fantasy', numberPlayers='', rating='', releaseDate='Jan 23, 2014', positiveCritics=18, neutralCritics=26, negativeCritics=0, positiveUsers=61, neutralUsers=15, negativeUsers=25, metascore=71.0, userScore=73.0}
Juegos{game='The LEGO Movie Videogame', platform='PS4', developer='TT Games', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Feb  7, 2014', positiveCritics=10, neutralCritics=21, negativeCritics=0, positiveUsers=16, neutralUsers=1, negativeUsers=1, metascore=71.0, userScore=71.0}
Juegos{game='Thief', platform='PC', developer='Nixxes Software', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Feb 25, 2014', positiveCritics=19, neutralCritics=16, negativeCritics=2, positiveUsers=142, neutralUsers=96, negativeUsers=104, metascore=70.0, userScore=59.0}
Juegos{game='Thief', platform='XONE', developer='Eidos Montreal', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Feb 25, 2014', positiveCritics=9, neutralCritics=11, negativeCritics=1, positiveUsers=26, neutralUsers=25, negativeUsers=24, metascore=69.0, userScore=59.0}
Juegos{game='Thief', platform='PS4', developer='Eidos Montreal', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Feb 25, 2014', positiveCritics=18, neutralCritics=27, negativeCritics=3, positiveUsers=67, neutralUsers=65, negativeUsers=42, metascore=67.0, userScore=62.0}
Juegos{game='Bloodborne', platform='PS4', developer='From Software', genre='Fantasy', numberPlayers='Up to 5 ', rating='M', releaseDate='Mar 24, 2015', positiveCritics=99, neutralCritics=1, negativeCritics=0, positiveUsers=1298, neutralUsers=108, negativeUsers=118, metascore=92.0, userScore=89.0}
Juegos{game=''The Legend of Zelda: Majora''s Mask 3D'', platform='3DS', developer='GREZZO', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='E10+', releaseDate='Feb 13, 2015', positiveCritics=81, neutralCritics=1, negativeCritics=0, positiveUsers=103, neutralUsers=12, negativeUsers=7, metascore=89.0, userScore=89.0}
Juegos{game='DmC: Devil May Cry Definitive Edition', platform='XONE', developer='Ninja Theory, QLOC', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Mar 10, 2015', positiveCritics=20, neutralCritics=0, negativeCritics=0, positiveUsers=15, neutralUsers=4, negativeUsers=3, metascore=86.0, userScore=75.0}
Juegos{game='Rise of the Tomb Raider', platform='XONE', developer='Crystal Dynamics', genre='Fantasy', numberPlayers='No Online Multiplayer', rating='M', releaseDate='Nov 10, 2015', positiveCritics=96, neutralCritics=6, negativeCritics=0, positiveUsers=181, neutralUsers=18, negativeUsers=16, metascore=86.0, userScore=80.0}
Juegos{game='Chaos Reborn', platform='PC', developer='Snapshot Games Inc.', genre='Fantasy', numberPlayers='', rating='', releaseDate='Oct 26, 2015', positiveCritics=10, neutralCritics=0, negativeCritics=0, positiveUsers=22, neutralUsers=5, negativeUsers=1, metascore=85.0, userScore=81.0}
Juegos{game='DmC: Devil May Cry Definitive Edition', platform='PS4', developer='Ninja Theory, QLOC', genre='Fantasy', numberPlayers='', rating='M', releaseDate='Mar 10, 2015', positiveCritics=50, neutralCritics=3, negativeCritics=0, positiveUsers=43, neutralUsers=8, negativeUsers=6, metascore=83.0, userScore=73.0}
Juegos{game='Splatoon', platform='WIIU', developer='Nintendo', genre='Fantasy', numberPlayers='Up to 8 ', rating='E10+', releaseDate='May 29, 2015', positiveCritics=75, neutralCritics=13, negativeCritics=0, positiveUsers=343, neutralUsers=37, negativeUsers=17, metascore=81.0, userScore=87.0}
